OMRÅDE,TID,CIVILSTAND,INDHOLD
København,2020K1,I alt,632340
København,2020K1,Ugift,412512
København,2020K1,Gift/separeret,150458
København,2020K1,Enke/enkemand,14630
København,2020K1,Fraskilt,54740
Frederiksberg,2020K1,I alt,104305
Frederiksberg,2020K1,Ugift,60781
Frederiksberg,2020K1,Gift/separeret,29185
Frederiksberg,2020K1,Enke/enkemand,4220
Frederiksberg,2020K1,Fraskilt,10119
Dragør,2020K1,I alt,14494
Dragør,2020K1,Ugift,5844
Dragør,2020K1,Gift/separeret,6546
Dragør,2020K1,Enke/enkemand,893
Dragør,2020K1,Fraskilt,1211
Tårnby,2020K1,I alt,42989
Tårnby,2020K1,Ugift,19947
Tårnby,2020K1,Gift/separeret,16660
Tårnby,2020K1,Enke/enkemand,2232
Tårnby,2020K1,Fraskilt,4150
Albertslund,2020K1,I alt,27731
Albertslund,2020K1,Ugift,13795
Albertslund,2020K1,Gift/separeret,10054
Albertslund,2020K1,Enke/enkemand,1156
Albertslund,2020K1,Fraskilt,2726
Ballerup,2020K1,I alt,48602
Ballerup,2020K1,Ugift,22371
Ballerup,2020K1,Gift/separeret,18441
Ballerup,2020K1,Enke/enkemand,2762
Ballerup,2020K1,Fraskilt,5028
Brøndby,2020K1,I alt,35090
Brøndby,2020K1,Ugift,16245
Brøndby,2020K1,Gift/separeret,13231
Brøndby,2020K1,Enke/enkemand,1940
Brøndby,2020K1,Fraskilt,3674
Gentofte,2020K1,I alt,74830
Gentofte,2020K1,Ugift,35130
Gentofte,2020K1,Gift/separeret,28979
Gentofte,2020K1,Enke/enkemand,3406
Gentofte,2020K1,Fraskilt,7315
Gladsaxe,2020K1,I alt,69262
Gladsaxe,2020K1,Ugift,34731
Gladsaxe,2020K1,Gift/separeret,24735
Gladsaxe,2020K1,Enke/enkemand,3008
Gladsaxe,2020K1,Fraskilt,6788
Glostrup,2020K1,I alt,23128
Glostrup,2020K1,Ugift,11193
Glostrup,2020K1,Gift/separeret,8339
Glostrup,2020K1,Enke/enkemand,1184
Glostrup,2020K1,Fraskilt,2412
Herlev,2020K1,I alt,28953
Herlev,2020K1,Ugift,13767
Herlev,2020K1,Gift/separeret,10561
Herlev,2020K1,Enke/enkemand,1570
Herlev,2020K1,Fraskilt,3055
Hvidovre,2020K1,I alt,53527
Hvidovre,2020K1,Ugift,26533
Hvidovre,2020K1,Gift/separeret,19341
Hvidovre,2020K1,Enke/enkemand,2487
Hvidovre,2020K1,Fraskilt,5166
Høje-Taastrup,2020K1,I alt,50759
Høje-Taastrup,2020K1,Ugift,23532
Høje-Taastrup,2020K1,Gift/separeret,20224
Høje-Taastrup,2020K1,Enke/enkemand,2279
Høje-Taastrup,2020K1,Fraskilt,4724
Ishøj,2020K1,I alt,22989
Ishøj,2020K1,Ugift,10808
Ishøj,2020K1,Gift/separeret,8931
Ishøj,2020K1,Enke/enkemand,960
Ishøj,2020K1,Fraskilt,2290
Lyngby-Taarbæk,2020K1,I alt,56214
Lyngby-Taarbæk,2020K1,Ugift,27810
Lyngby-Taarbæk,2020K1,Gift/separeret,20344
Lyngby-Taarbæk,2020K1,Enke/enkemand,2778
Lyngby-Taarbæk,2020K1,Fraskilt,5282
Rødovre,2020K1,I alt,40652
Rødovre,2020K1,Ugift,20055
Rødovre,2020K1,Gift/separeret,14268
Rødovre,2020K1,Enke/enkemand,2051
Rødovre,2020K1,Fraskilt,4278
Vallensbæk,2020K1,I alt,16633
Vallensbæk,2020K1,Ugift,7354
Vallensbæk,2020K1,Gift/separeret,7290
Vallensbæk,2020K1,Enke/enkemand,712
Vallensbæk,2020K1,Fraskilt,1277
Allerød,2020K1,I alt,25633
Allerød,2020K1,Ugift,10586
Allerød,2020K1,Gift/separeret,11843
Allerød,2020K1,Enke/enkemand,1220
Allerød,2020K1,Fraskilt,1984
Egedal,2020K1,I alt,43354
Egedal,2020K1,Ugift,18274
Egedal,2020K1,Gift/separeret,19789
Egedal,2020K1,Enke/enkemand,1924
Egedal,2020K1,Fraskilt,3367
Fredensborg,2020K1,I alt,40865
Fredensborg,2020K1,Ugift,17135
Fredensborg,2020K1,Gift/separeret,17574
Fredensborg,2020K1,Enke/enkemand,1974
Fredensborg,2020K1,Fraskilt,4182
Frederikssund,2020K1,I alt,45223
Frederikssund,2020K1,Ugift,18530
Frederikssund,2020K1,Gift/separeret,19028
Frederikssund,2020K1,Enke/enkemand,2766
Frederikssund,2020K1,Fraskilt,4899
Furesø,2020K1,I alt,40965
Furesø,2020K1,Ugift,17443
Furesø,2020K1,Gift/separeret,17856
Furesø,2020K1,Enke/enkemand,2124
Furesø,2020K1,Fraskilt,3542
Gribskov,2020K1,I alt,41048
Gribskov,2020K1,Ugift,15993
Gribskov,2020K1,Gift/separeret,17823
Gribskov,2020K1,Enke/enkemand,2517
Gribskov,2020K1,Fraskilt,4715
Halsnæs,2020K1,I alt,31384
Halsnæs,2020K1,Ugift,12656
Halsnæs,2020K1,Gift/separeret,13029
Halsnæs,2020K1,Enke/enkemand,1981
Halsnæs,2020K1,Fraskilt,3718
Helsingør,2020K1,I alt,62695
Helsingør,2020K1,Ugift,27077
Helsingør,2020K1,Gift/separeret,24435
Helsingør,2020K1,Enke/enkemand,3539
Helsingør,2020K1,Fraskilt,7644
Hillerød,2020K1,I alt,51183
Hillerød,2020K1,Ugift,23306
Hillerød,2020K1,Gift/separeret,20681
Hillerød,2020K1,Enke/enkemand,2423
Hillerød,2020K1,Fraskilt,4773
Hørsholm,2020K1,I alt,24864
Hørsholm,2020K1,Ugift,9677
Hørsholm,2020K1,Gift/separeret,10786
Hørsholm,2020K1,Enke/enkemand,1664
Hørsholm,2020K1,Fraskilt,2737
Rudersdal,2020K1,I alt,56728
Rudersdal,2020K1,Ugift,24690
Rudersdal,2020K1,Gift/separeret,23679
Rudersdal,2020K1,Enke/enkemand,3222
Rudersdal,2020K1,Fraskilt,5137
Christiansø,2020K1,I alt,84
Christiansø,2020K1,Ugift,31
Christiansø,2020K1,Gift/separeret,41
Christiansø,2020K1,Enke/enkemand,6
Christiansø,2020K1,Fraskilt,6
Greve,2020K1,I alt,50558
Greve,2020K1,Ugift,21016
Greve,2020K1,Gift/separeret,22162
Greve,2020K1,Enke/enkemand,2588
Greve,2020K1,Fraskilt,4792
Køge,2020K1,I alt,60979
Køge,2020K1,Ugift,27189
Køge,2020K1,Gift/separeret,24448
Køge,2020K1,Enke/enkemand,3096
Køge,2020K1,Fraskilt,6246
Lejre,2020K1,I alt,27996
Lejre,2020K1,Ugift,11553
Lejre,2020K1,Gift/separeret,12554
Lejre,2020K1,Enke/enkemand,1437
Lejre,2020K1,Fraskilt,2452
Roskilde,2020K1,I alt,87914
Roskilde,2020K1,Ugift,41111
Roskilde,2020K1,Gift/separeret,34221
Roskilde,2020K1,Enke/enkemand,4229
Roskilde,2020K1,Fraskilt,8353
Solrød,2020K1,I alt,23255
Solrød,2020K1,Ugift,9955
Solrød,2020K1,Gift/separeret,10209
Solrød,2020K1,Enke/enkemand,1044
Solrød,2020K1,Fraskilt,2047
Faxe,2020K1,I alt,36576
